asset_id,asset_type,current_stage,owner_name,owner_org,location,system,red_tag_date,yellow_tag_date,green_date,notes,activity_id
DUB16-MER1-AHU01,Air Handling Unit,RT,Cental,Cental,MER1 Main Electrical Room,Cooling,2026-04-20,,,,A1100
DUB16-MER1-AHU02,Air Handling Unit,RT,Cental,Cental,MER1 Main Electrical Room,Cooling,2026-04-21,,,,A1110
DUB16-MER1-AHU03,Air Handling Unit,RT,Cental,Cental,MER1 Main Electrical Room,Cooling,2026-04-22,,,,
DUB16-ADMIN-AHU01,Air Handling Unit,RT,Lawrence Burke,Ardmac,Admin Plant,Cooling,2026-04-23,,,,
DUB16-MER1-HRU01,Heat Rejection Unit,RT,TBourke,TBourke,Roof above Colo,Cooling,2026-04-24,,,,A2010
DUB16-MER1-HRU02,Heat Rejection Unit,RT,TBourke,TBourke,Roof above Colo,Cooling,2026-04-25,,,,A2020
DUB16-MGR2-HRU01,Heat Rejection Unit,RT,TBourke,TBourke,MGR2,Cooling,2026-04-26,,,,
DUB16-COLO1-PNL01,Distribution Panel,Off GT,Cental,Cental,Colo Hall 1,Power,2026-04-27,2026-05-11,2026-05-23,,A1010
DUB16-COLO1-PNL02,Distribution Panel,On YT,Cental,Cental,Colo Hall 1,Power,2026-04-28,2026-05-12,2026-05-24,,A1020
DUB16-COLO1-CRAC01,CRAC Unit,On YT,TBourke,TBourke,Colo Hall 1,Cooling,2026-04-29,2026-05-13,2026-05-25,,
DUB16-COLO1-CRAC02,CRAC Unit,On YT,Cental,Cental,Colo Hall 1,Cooling,2026-04-30,2026-05-14,2026-05-26,,
DUB16-COLO1-CRAC03,CRAC Unit,Off GT,Cental,Cental,Colo Hall 2,Cooling,2026-05-01,2026-05-15,2026-05-27,,
DUB16-COLO1-CRAC04,CRAC Unit,On GT,Cental,Cental,Colo Hall 2,Cooling,2026-05-02,2026-05-16,2026-05-28,,
DUB16-COLO1-UPM01,UPS Module,On YT,Cental,Cental,Colo Hall 1,Power,2026-05-03,2026-05-17,2026-05-29,,A1030
DUB16-COLO1-UPM02,UPS Module,On GT,Cental,Cental,Colo Hall 1,Power,2026-05-04,2026-05-18,2026-05-30,,
